,tick,Name,count,Percent Port,Cash Value
0,AMZN,"AMAZON.COM, INC. (XNAS:AMZN)",33,6.80%," $6,804 "
1,MSFT,MICROSOFT CORPORATION (XNAS:MSFT),29,5.98%," $5,979 "
2,AAPL,APPLE INC. (XNAS:AAPL),26,5.36%," $5,361 "
3,NVDA,NVIDIA CORPORATION (XNAS:NVDA),25,5.15%," $5,155 "
4,GOOGL,ALPHABET INC. (XNAS:GOOGL),24,4.95%," $4,948 "
5,META,"Meta Platforms, Inc. (XNAS:META)",24,4.95%," $4,948 "
6,TSLA,"TESLA, INC. (XNAS:TSLA)",24,4.95%," $4,948 "
7,AMD,"ADVANCED MICRO DEVICES, INC. (XNAS:AMD)",16,3.30%," $3,299 "
8,PYPL,"PAYPAL HOLDINGS, INC. (XNAS:PYPL)",15,3.09%," $3,093 "
9,CRM,"SALESFORCE, INC. (XNYS:CRM)",14,2.89%," $2,887 "
10,NFLX,"NETFLIX, INC. (XNAS:NFLX)",14,2.89%," $2,887 "
11,ABNB,"AIRBNB, INC. (XNAS:ABNB)",13,2.68%," $2,680 "
12,MA,MASTERCARD INCORPORATED. (XNYS:MA),13,2.68%," $2,680 "
13,TTD,"THE TRADE DESK, INC. (XNAS:TTD)",13,2.68%," $2,680 "
14,DIS,THE WALT DISNEY COMPANY (XNYS:DIS),10,2.06%," $2,062 "
15,FVRR,FIVERR INTERNATIONAL LTD (XNYS:FVRR),10,2.06%," $2,062 "
16,TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. (XNYS:TSM)",10,2.06%," $2,062 "
17,ADBE,ADOBE INC. (XNAS:ADBE),9,1.86%," $1,856 "
18,KO,THE COCA-COLA COMPANY (XNYS:KO),9,1.86%," $1,856 "
19,MELI,"MERCADOLIBRE, INC. (XNAS:MELI)",8,1.65%," $1,649 "
20,NIO,NIO INC. (XNYS:NIO),8,1.65%," $1,649 "
21,NKE,"NIKE, INC. (XNYS:NKE)",8,1.65%," $1,649 "
22,PANW,"PALO ALTO NETWORKS, INC. (XNAS:PANW)",8,1.65%," $1,649 "
23,SQ,"BLOCK, INC. (XNYS:SQ)",8,1.65%," $1,649 "
24,TDOC,"Teladoc Health, Inc. (XNYS:TDOC)",8,1.65%," $1,649 "
25,AVGO,Broadcom Inc. (XNAS:AVGO),7,1.44%," $1,443 "
26,BAC,BANK OF AMERICA CORPORATION (XNYS:BAC),7,1.44%," $1,443 "
27,PLTR,PALANTIR TECHNOLOGIES INC. (XNYS:PLTR),7,1.44%," $1,443 "
28,SOFI,"SOFI TECHNOLOGIES, INC. (XNAS:SOFI)",7,1.44%," $1,443 "
29,ALB,ALBEMARLE CORPORATION (XNYS:ALB),6,1.24%," $1,237 "
30,ASML,ASML Holding NV (XNAS:ASML),6,1.24%," $1,237 "
31,BABA,Alibaba Group Holding Limited (XNYS:BABA),6,1.24%," $1,237 "
32,ENPH,"ENPHASE ENERGY, INC. (XNAS:ENPH)",6,1.24%," $1,237 "
33,ETSY,"ETSY, INC. (XNAS:ETSY)",6,1.24%," $1,237 "
34,FANG,"DIAMONDBACK ENERGY, INC. (XNAS:FANG)",6,1.24%," $1,237 "
35,GE,GENERAL ELECTRIC COMPANY (XNYS:GE),6,1.24%," $1,237 "
36,MRK,"MERCK & CO., INC. (XNYS:MRK)",6,1.24%," $1,237 "
37,NOW,"SERVICENOW, INC. (XNYS:NOW)",6,1.24%," $1,237 "
38,SNAP,SNAP INC. (XNYS:SNAP),6,1.24%," $1,237 "
39,TD,THE TORONTO-DOMINION BANK (XNYS:TD),6,1.24%," $1,237 "
40,TMUS,"T-MOBILE US, INC. (XNAS:TMUS)",6,1.24%," $1,237 "
41,UNH,UNITEDHEALTH GROUP INCORPORATED (XNYS:UNH),6,1.24%," $1,237 "
